"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Prex1"	6.39786085733157e-168	0.489045375841149	0.256	0.229	1.98672773202717e-163	"5"	"Prex1"
"Ciita"	8.11022915178534e-166	0.493910934398558	0.27	0.285	2.5184694585039e-161	"5"	"Ciita"
"H2-M3"	6.72414418469774e-165	0.457605791131381	0.801	0.474	2.08804849367419e-160	"5"	"H2-M3"
"Pisd"	1.03680510673546e-163	0.273590084829511	0.921	0.532	3.21959089794561e-159	"5"	"Pisd"
"Clec4e"	4.70853501507879e-163	0.720390270695496	0.717	0.172	1.46214137823242e-158	"5"	"Clec4e"
"Kcnn4"	3.92854396893814e-162	0.381043575949914	0.746	0.226	1.21993075867436e-157	"5"	"Kcnn4"
"Pilrb1"	6.49140363113592e-162	0.265410692018832	0.268	0.15	2.01577556957664e-157	"5"	"Pilrb1"
"Tbc1d9"	1.15435661271605e-161	0.418576582212448	0.279	0.148	3.58462358946715e-157	"5"	"Tbc1d9"
"Secisbp2"	1.05352855886032e-160	0.349687126336257	0.867	0.532	3.27152223382894e-156	"5"	"Secisbp2"
"Tnfsf9"	1.23781427173383e-160	0.262329226418667	0.723	0.237	3.84378465801505e-156	"5"	"Tnfsf9"
"Sf3a2"	7.08883604238798e-160	0.25044939582413	0.902	0.541	2.20129625624274e-155	"5"	"Sf3a2"
"Etv3"	3.99458922488056e-159	0.395333597813309	0.237	0.39	1.24043979200216e-154	"5"	"Etv3"
"Ncf1"	6.77254114056975e-158	0.575578784376634	0.277	0.158	2.10307720038113e-153	"5"	"Ncf1"
"Gpaa1"	8.68216215453094e-158	0.3123413410149	0.927	0.531	2.69607181384649e-153	"5"	"Gpaa1"
"Lrrc8c"	9.31282050287157e-158	0.336644012834204	0.726	0.262	2.89191015075671e-153	"5"	"Lrrc8c"
"Synj1"	1.32249857519039e-157	0.303468709078168	0.244	0.323	4.10675482553873e-153	"5"	"Synj1"
"Slc44a2"	1.12234354085298e-156	0.305180447194268	0.729	0.254	3.48521339741075e-152	"5"	"Slc44a2"
"Unc50"	3.48319156714645e-156	0.293254854405912	0.935	0.642	1.08163547734599e-151	"5"	"Unc50"
"Arhgef6"	7.22037913641549e-156	0.613415091411182	0.711	0.221	2.2421443332311e-151	"5"	"Arhgef6"
"Adgre4"	9.04414202930472e-156	0.281297400144637	0.281	0.17	2.80847742436e-151	"5"	"Adgre4"
"Camk1d"	1.06928999848652e-155	0.336654474830217	0.27	0.512	3.32046623230021e-151	"5"	"Camk1d"
"Nckap1l"	5.37619060408255e-154	0.605093219023721	0.274	0.137	1.66946846828576e-149	"5"	"Nckap1l"
"Sh3bgrl3"	1.06820557381632e-153	1.5710092061527	0.804	0.56	3.31709876837182e-149	"5"	"Sh3bgrl3"
"Vrk2"	1.98770925341115e-153	0.261052389521136	0.269	0.36	6.17243354461764e-149	"5"	"Vrk2"
"Grk6"	2.90996174287117e-152	0.323990057476971	0.755	0.364	9.03630420013785e-148	"5"	"Grk6"
"Cdc5l"	3.21795657354059e-152	0.269598369498797	0.236	0.407	9.99272054781559e-148	"5"	"Cdc5l"
"Dusp2"	7.33374123947789e-152	0.364290709930841	0.278	0.284	2.27734666709507e-147	"5"	"Dusp2"
"Lsm8"	3.65699871436314e-151	0.361186703791479	0.949	0.652	1.13560781077118e-146	"5"	"Lsm8"
"Il10ra"	7.1352070122005e-151	0.747130549385791	0.285	0.162	2.21569583349862e-146	"5"	"Il10ra"
"Cep295"	9.72060751080896e-151	0.35548283011242	0.776	0.402	3.01854025033151e-146	"5"	"Cep295"
"Dtymk"	1.14786640050625e-150	0.343894376304572	0.978	0.711	3.56446953349204e-146	"5"	"Dtymk"
"Ubxn8"	1.4645956429633e-150	0.250286597985137	0.94	0.599	4.54800885009393e-146	"5"	"Ubxn8"
"Parvg"	7.87012101594418e-150	0.330890055892505	0.274	0.16	2.44390867908115e-145	"5"	"Parvg"
"Polr2m"	6.00687863492283e-149	0.407464096636564	0.904	0.486	1.86531602250259e-144	"5"	"Polr2m"
"Psmd3"	9.84550920695374e-149	0.329731586453551	0.952	0.579	3.05732597403535e-144	"5"	"Psmd3"
"Ppil2"	3.49868175985227e-148	0.452987378017018	0.858	0.483	1.08644564688693e-143	"5"	"Ppil2"
"Gmnn"	7.61125116969858e-148	0.479712315187803	0.912	0.651	2.3635218257265e-143	"5"	"Gmnn"
"Tmem168"	8.07623866675436e-148	0.395394264263092	0.766	0.391	2.50791439318723e-143	"5"	"Tmem168"
"Epsti1"	3.14545288640332e-147	0.593893586049846	0.281	0.241	9.76757484814823e-143	"5"	"Epsti1"
"Siva1"	6.88390808146683e-147	0.503812760698092	0.931	0.66	2.13765997653789e-142	"5"	"Siva1"
"Yars"	2.00862081692545e-146	0.262585487131891	0.906	0.515	6.23737022279859e-142	"5"	"Yars"
"Fcer1g"	3.35777823767707e-146	1.63506994467026	0.74	0.36	1.04269087614586e-141	"5"	"Fcer1g"
"Plod1"	2.06252795495319e-145	0.679851291576234	0.831	0.478	6.40476805851613e-141	"5"	"Plod1"
"Was"	7.98227051178975e-145	0.46567043974081	0.288	0.12	2.47873446202607e-140	"5"	"Was"
"Gm6377"	3.13530287822656e-144	0.428678275163379	0.288	0.254	9.73605602775694e-140	"5"	"Gm6377"
"2310035C23Rik"	3.85392414391901e-144	0.257063758434459	0.238	0.385	1.19675906441117e-139	"5"	"2310035C23Rik"
"2010111I01Rik"	6.92276933453413e-144	0.288316677618234	0.932	0.574	2.14972756145288e-139	"5"	"2010111I01Rik"
"Specc1l"	7.04593798889464e-144	0.268433313180472	0.247	0.394	2.18797512369145e-139	"5"	"Specc1l"
"Ptpn11"	1.11933786541356e-142	0.369030223899433	0.836	0.471	3.47587987346874e-138	"5"	"Ptpn11"
"Trim41"	1.95622093313599e-142	0.253705699397064	0.238	0.336	6.0746528636672e-138	"5"	"Trim41"
"Git2"	4.54672568894052e-141	0.423334528194873	0.236	0.342	1.4118947281867e-136	"5"	"Git2"
"Psap"	8.61431988503346e-141	0.926814003157708	0.905	0.684	2.67500475389944e-136	"5"	"Psap"
"Tgfbr1"	1.18295985227976e-140	0.568362095417006	0.27	0.447	3.67344522928434e-136	"5"	"Tgfbr1"
"Cd86"	2.42827458328929e-140	0.604501943726839	0.29	0.174	7.54052106348824e-136	"5"	"Cd86"
"Pdlim4"	3.46572504945907e-140	0.356902220694887	0.301	0.196	1.07621159960853e-135	"5"	"Pdlim4"
