"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Mospd1","OK",4.01005106342073e-68,17.4016208990249,0.037701082071069,"Mospd1",9.93950379242896e-68,"4","1",-3.22550146816968,-1.1017162110144
"Mmgt1","OK",1.60690953067715e-48,14.5908052066328,0.031591094569405,"Mmgt1",3.65538520465648e-48,"4","1",-3.11370818852185,-1.43999331253112
"Tmem185a","OK",1.61868676848134e-122,23.5098110859977,0.0509617582859742,"Tmem185a",4.75702672678165e-122,"4","1",-1.59979908703565,-1.48329870956482
"Mtm1","OK",2.11458134038975e-94,20.5790467438118,0.0446035057043132,"Mtm1",5.71056219224395e-94,"4","1",-2.77793233631848,-1.03104870575012
"Taz","OK",1.36783280449972e-268,34.9944177066884,0.0758940106360229,"Taz",5.39492974603585e-268,"4","1",-1.84145300625562,-1.91657369392456
"Atp6ap1","OK",0,78.3717101066038,0.170087516802864,"Atp6ap1",0,"4","1",-1.43519394634961,-1.12389605300964
"Fam3a","OK",1.63227926894382e-301,37.0959556763945,0.0804586503791666,"Fam3a",6.77632490870393e-301,"4","1",-1.83134668110608,-1.53671424644531
"Rab39b","OK",2.33096840506107e-07,5.03972810615673,0.0104850761001554,"Rab39b",3.79246430991195e-07,"4","1",-3.85559337376355,-0.889772823029171
"Gspt2","OK",2.83148637401004e-11,6.55237338882478,0.0141258069050338,"Gspt2",4.88645857742491e-11,"4","1",-2.64371388195752,-1.12421434181274
"Zxdb","OK",2.92958112716228e-06,4.53140883089895,0.00974103194673102,"Zxdb",4.66195571829968e-06,"4","1",-2.52623527287244,-1.3772928025061
"Las1l","OK",6.31382536306185e-85,19.4928392377489,0.0422422805874181,"Las1l",1.65832612338356e-84,"4","1",-2.1005765700221,-1.84858243721069
"Efnb1","OK",2.80711961687945e-25,10.3218305843815,0.0223136214478205,"Efnb1",5.5565810475964e-25,"4","1",-2.64616768597363,-1.1653672959143
"Uprt","OK",5.97260054478461e-06,4.37858562125021,0.00941695813440108,"Uprt",9.44849867310908e-06,"4","1",-2.70109455822705,-0.632500817947994
"Magt1","OK",0,69.9278125117885,0.151761112216003,"Magt1",0,"4","1",-2.95745032070874,-1.92824523704589
"Armcx3","OK",0,52.3380722423202,0.113545283758005,"Armcx3",0,"4","1",-3.48865549801587,-2.13508527534546
"Morf4l2","OK",0,75.7012528741445,0.164304092155382,"Morf4l2",0,"4","1",-2.47240631817578,-1.73102872627319
"Serpina7","OK",0,142.821315358652,0.310016456791536,"Serpina7",0,"4","1",-4.02735345600843,-1.76926820533813
"Tspyl2","OK",2.14356841666965e-83,19.3116431417294,0.0418286987859932,"Tspyl2",5.59936905022656e-83,"4","1",-3.25519030331372,-1.9684793259436
"S100g","OK",2.13006773151843e-169,27.7178071259597,0.0600953802790168,"S100g",6.99657617364563e-169,"4","1",-3.67263524769544,-2.10985057609619
"Piga","OK",1.21749753554209e-41,13.4673342611395,0.0291266808982718,"Piga",2.67734138018247e-41,"4","1",-3.07375114201306,-1.13932578819336
"Asb11","OK",3.05371874990839e-50,14.8587273634418,0.0320013060198768,"Asb11",7.00376177291518e-50,"4","1",-3.90638463734387,-1.87500684516967
"Ofd1","OK",1.05664663253837e-25,10.4152106038203,0.022516821524138,"Ofd1",2.09945492095247e-25,"4","1",-2.9210852885127,-0.32037346618713
"Hnf4g","OK",9.42560152150008e-44,13.8217196505729,0.0298905726624372,"Hnf4g",2.09681318400037e-43,"4","1",-2.96261208294629,-1.85550468223632
"4632415L05Rik","OK",5.79452535257924e-19,8.81860885428378,0.0190617936573842,"4632415L05Rik",1.09078024542471e-18,"4","1",-2.39256398915051,-0.881639888458858
"Tmem212","OK",1.83410624782471e-18,8.68863465464797,0.0187154069993803,"Tmem212",3.43779939271169e-18,"4","1",-3.25713770626782,-2.39434354560913
"Skil","OK",3.1610291194156e-297,36.8290893868903,0.0798686729152821,"Skil",1.3038075153918e-296,"4","1",-2.39016525982617,-1.04223816650451
"Ttc14","OK",1.3566453753152e-165,27.4003905806713,0.0594010158286962,"Ttc14",4.42201171792276e-165,"4","1",-2.25395696400403,-0.914662530594478
"Mfsd8","OK",1.55714674822891e-47,14.4350478826973,0.0312540092253429,"Mfsd8",3.5296094117029e-47,"4","1",-2.23612087010144,-1.79436509864868
