"","Combined_Module"
"Map3k7","1"
"Casp8ap2","1"
"Mdn1","1"
"B4galt1","1"
"Nfx1","1"
"Nol6","1"
"Ubap2","1"
"AI464131","1"
"Pigo","1"
"Unc13b","1"
"Tesk1","1"
"Tln1","1"
"Gba2","1"
"Rgp1","1"
"Rnf38","1"
"Zcchc7","1"
"Dcaf10","1"
"Shb","1"
"Tdrd7","1"
"Col15a1","1"
"Tgfbr1","1"
"Invs","1"
"Acnat1","1"
"Zfp189","1"
"Abca1","1"
"Slc44a1","1"
"Zfp462","1"
"Tmem245","1"
"Ptpn3","1"
"AI314180","1"
"Ugcg","1"
"Snx30","1"
"Fkbp15","1"
"Prpf4","1"
"Zfp618","1"
"Megf9","1"
"Tle1","1"
"Ptprd","1"
"Nfib","1"
"Zdhhc21","1"
"Acer2","1"
"Mllt3","1"
"Focad","1"
"Mysm1","1"
"Jun","1"
"Hook1","1"
"Nfia","1"
"Patj","1"
"Dock7","1"
"Gm12689","1"
"Pde4b","1"
"Slc35d1","1"
"Prkaa2","1"
"Usp24","1"
"Pcsk9","1"
"Ssbp3","1"
"Zyg11b","1"
"Zcchc11","1"
"Gm17354","1"
"Zfyve9","1"
"Mob3c","1"
"Faah","1"
"Mast2","1"
"Plk3","1"
"Rnf220","1"
"Gm12843","1"
"Ipo13","1"
"St3gal3","1"
"Kdm4a","1"
"Ptprf","1"
"Szt2","1"
"Smap2","1"
"Rlf","1"
"Macf1","1"
"Rragc","1"
"Inpp5b","1"
"Zc3h12a","1"
"Stk40","1"
"Thrap3","1"
"Map7d1","1"
"Ago3","1"
"Ago1","1"
"Ncdn","1"
"AU040320","1"
"Zmym4","1"
"Sfpq","1"
"Zmym6","1"
"Tlr12","1"
"Phc2","1"
"Rnf19b","1"
"S100pbp","1"
"C77080","1"
"Bsdc1","1"
"Kpna6","1"
"Ptp4a2","1"
"Pum1","1"
"Sesn2","1"
"Ppp1r8","1"
"Ahdc1","1"
"Map3k6","1"
"Wdtc1","1"
"Slc9a1","1"
"Arid1a","1"
"Pafah2","1"
"Tmem57","1"
"Rsrp1","1"
"Clic4","1"
"Ifnlr1","1"
"Il22ra1","1"
"E2f2","1"
"Kdm1a","1"
"Zbtb40","1"
"Ece1","1"
"Eif4g3","1"
"Rnf186","1"
"Tmco4","1"
"Emc1","1"
"Ubr4","1"
"Iffo2","1"
"Aldh4a1","1"
"Rcc2","1"
"Fbxo42","1"
"Arhgef19","1"
"Epha2","1"
"Spen","1"
"Plekhm2","1"
"Ddi2","1"
"Dnajc16","1"
"Casp9","1"
"Prdm2","1"
"Vps13d","1"
"Tnfrsf1b","1"
"Mfn2","1"
"2510039O18Rik","1"
"Clcn6","1"
"Mthfr","1"
"Mtor","1"
"Dffa","1"
"Kif1b","1"
"Tmem201","1"
"H6pd","1"
"Rere","1"
"Errfi1","1"
"Phf13","1"
"Klhl21","1"
"Zbtb48","1"
"Plekhg5","1"
"Icmt","1"
"Dffb","1"
"Lrrc47","1"
"Morn1","1"
"Ski","1"
"Gnb1","1"
"Slc35e2","1"
"Dvl1","1"
"Agrn","1"
"Noc2l","1"
"Cdk6","1"
"Ankib1","1"
"Krit1","1"
"Akap9","1"
"Abcb4","1"
"Phtf2","1"
"Ptpn12","1"
"Fgl2","1"
"Reln","1"
"Fam126a","1"
"Slc4a2","1"
"Agap3","1"
"Chpf2","1"
"Kmt2c","1"
"Paxip1","1"
"Rbm33","1"
"Nom1","1"
"Ube3c","1"
"Selenoi","1"
"Emilin1","1"
"Slc5a6","1"
"Gtf3c2","1"
"Ift172","1"
"Fosl2","1"
"Prr14l","1"
"Depdc5","1"
"Uvssa","1"
"Fgfr3","1"
"Nsd2","1"
"Fam193a","1"
"Add1","1"
"Htt","1"
"Acox3","1"
"Sh3tc1","1"
"Tada2b","1"
