"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Zbtb33" 1.94152773528359e-93 0.00710157033834637 1 1 2.75696938410269e-91 "3" "Zbtb33"
"Zfp768" 4.60807278500272e-92 0.00325184441996148 1 1 6.54346335470386e-90 "3" "Zfp768"
"Supt20" 3.94331582832286e-90 0.00631152096398772 1 1 5.59950847621846e-88 "3" "Supt20"
"Ezh2" 8.1963850297533e-90 0.00613717121780751 1 1 1.16388667422497e-87 "3" "Ezh2"
"Bach1" 4.5603380944669e-88 0.00264984104913287 0.989 0.975 6.47568009414299e-86 "3" "Bach1"
"Zmiz1" 6.35052918829135e-88 0.0115043081556183 1 1 9.01775144737372e-86 "3" "Zmiz1"
"Thap1" 3.63198470678111e-75 0.0130890856090873 1 1 5.15741828362917e-73 "3" "Thap1"
"Tbl1xr1" 2.97409197317217e-73 0.00412016039010407 1 1 4.22321060190448e-71 "3" "Tbl1xr1"
"Nfe2l2" 2.70394357130259e-65 0.0106144359517691 1 1 3.83959987124968e-63 "3" "Nfe2l2"
"Ets1" 2.63593116460029e-62 0.00514042145116834 1 1 3.74302225373241e-60 "3" "Ets1"
"Nfkb2" 6.34923395124911e-60 0.0035226057961056 0.734 0.605 9.01591221077373e-58 "3" "Nfkb2"
"Usf1" 9.69019572165173e-60 0.0147977819767044 1 1 1.37600779247455e-57 "3" "Usf1"
"Esrra" 2.68974174877593e-53 0.00502453644697556 1 1 3.81943328326183e-51 "3" "Esrra"
"Smarcc2" 3.78552342899826e-49 0.00173995740020058 0.998 0.997 5.37544326917752e-47 "3" "Smarcc2"
"Sox4" 9.36452317874949e-44 0.00169550715445713 0.867 0.802 1.32976229138243e-41 "3" "Sox4"
"Npdc1" 1.00138664972192e-41 0.00267228829914041 0.998 0.994 1.42196904260513e-39 "3" "Npdc1"
"Tcf3" 1.19529542574562e-41 0.00158942250937484 1 1 1.69731950455879e-39 "3" "Tcf3"
"Rxra" 3.48949899168729e-40 0.00308032724405499 0.995 0.996 4.95508856819595e-38 "3" "Rxra"
"Tfe3" 1.33060831711563e-37 0.0015568470082725 1 1 1.8894638103042e-35 "3" "Tfe3"
"Ppara" 1.02753755787937e-31 0.00497938617636731 0.79 0.759 1.4591033321887e-29 "3" "Ppara"
"Arnt" 3.60858458764989e-27 0.00126045070245508 0.999 0.998 5.12419011446284e-25 "3" "Arnt"
"Maff" 5.25889997471816e-23 0.00794509453393834 0.709 0.616 7.46763796409979e-21 "3" "Maff"
"Mxi1" 1.95358705786909e-22 0.00311934847321756 1 1 2.77409362217411e-20 "3" "Mxi1"
"Atf4" 2.17434807469003e-20 0.00249536972955621 0.996 0.99 3.08757426605984e-18 "3" "Atf4"
"Rarg" 1.77426087362048e-18 0.00155575831180727 1 1 2.51945044054108e-16 "3" "Rarg"
"Foxq1" 5.98308508811803e-18 0.0037134071568324 0.996 1 8.4959808251276e-16 "3" "Foxq1"
"Mlxipl" 4.98278100453537e-16 0.00123134658355571 0.665 0.574 7.07554902644022e-14 "3" "Mlxipl"
"Mafg" 1.11539063833913e-11 0.000914640494781387 0.584 0.523 1.58385470644156e-09 "3" "Mafg"
"Ahr" 5.55100311033255e-11 0.000986670863286584 0.883 0.841 7.88242441667222e-09 "3" "Ahr"
"Hes1" 8.76075851839811e-11 0.00201769549525161 0.54 0.464 1.24402770961253e-08 "3" "Hes1"
"Foxo1" 2.30001471209144e-08 0.000525736561514462 1 0.999 3.26602089116984e-06 "3" "Foxo1"
"Cebpg" 1.28480321034777e-05 0.000102474926434384 0.557 0.614 0.00182442055869383 "3" "Cebpg"
"Creb3l2" 0.00201451616024261 0.000430916043229508 0.855 0.835 0.286061294754451 "3" "Creb3l2"
"Jun1" 0 0.173761519606011 1 0.999 0 "0" "Jun"
"Fos1" 0 0.0513784870341238 1 1 0 "0" "Fos"
"Elf11" 0 0.0501713306330484 1 1 0 "0" "Elf1"
"Fosb1" 0 0.0486366684643153 1 0.984 0 "0" "Fosb"
"Bhlhe401" 0 0.0483814540545213 1 1 0 "0" "Bhlhe40"
"Junb1" 0 0.0480252084305348 1 1 0 "0" "Junb"
"Nr3c11" 0 0.0443738630798936 1 1 0 "0" "Nr3c1"
"Foxa31" 0 0.0415193682906727 1 1 0 "0" "Foxa3"
"Elf31" 0 0.0407155930511657 1 1 0 "0" "Elf3"
"Elf21" 0 0.0399742705048994 1 1 0 "0" "Elf2"
"Maff1" 0 0.0356675198577514 0.798 0.538 0 "0" "Maff"
"Gabpb11" 0 0.0325904147954679 1 1 0 "0" "Gabpb1"
"Rela1" 0 0.0324655556189568 1 1 0 "0" "Rela"
"Irf11" 0 0.0319865834623139 1 1 0 "0" "Irf1"
"Mafb" 0 0.0317484426355359 0.892 0.751 0 "0" "Mafb"
"Smarca41" 0 0.031731571859067 1 1 0 "0" "Smarca4"
"Ets21" 0 0.0316930987310164 1 1 0 "0" "Ets2"
"Stat31" 0 0.0303582186065258 0.988 0.858 0 "0" "Stat3"
"Srebf11" 0 0.0303203448893521 1 1 0 "0" "Srebf1"
"Hnf4a1" 0 0.0275785387793015 1 1 0 "0" "Hnf4a"
"Egr11" 0 0.0269530330212396 1 1 0 "0" "Egr1"
"Foxq11" 0 0.0265210537773682 1 0.999 0 "0" "Foxq1"
"Usf21" 0 0.025856577048957 1 1 0 "0" "Usf2"
"Bmyc" 0 0.0258163899295691 1 1 0 "0" "Bmyc"
"Jund1" 0 0.0227152875765116 1 1 0 "0" "Jund"
"Kdm5b1" 0 0.0222691956159285 1 1 0 "0" "Kdm5b"
"Srebf21" 0 0.0221054963175785 1 1 0 "0" "Srebf2"
"Arntl1" 0 0.0220803504556763 1 1 0 "0" "Arntl"
"Yy11" 0 0.0211790078025005 1 1 0 "0" "Yy1"
"Taf71" 0 0.0209479442839466 1 1 0 "0" "Taf7"
"Myc1" 0 0.0209146100613181 1 1 0 "0" "Myc"
"Brf11" 0 0.0207091534351592 1 1 0 "0" "Brf1"
"Atf31" 0 0.0205323607077359 1 1 0 "0" "Atf3"
"Max1" 0 0.0202404827835905 1 1 0 "0" "Max"
"Ddit31" 0 0.0198161127700775 0.999 0.988 0 "0" "Ddit3"
"Irf31" 0 0.0197227979665023 1 1 0 "0" "Irf3"
"Cux11" 0 0.018667284304124 1 1 0 "0" "Cux1"
"Klf61" 0 0.0186508734034122 1 1 0 "0" "Klf6"
"Nfe2l21" 0 0.0185005315577551 1 1 0 "0" "Nfe2l2"
"Cebpd1" 0 0.0174970367194735 1 1 0 "0" "Cebpd"
"Etv61" 0 0.0172848828696066 1 1 0 "0" "Etv6"
"Zfp1431" 0 0.0167903241336602 1 1 0 "0" "Zfp143"
"Taf11" 0 0.0167870173714227 1 1 0 "0" "Taf1"
"Zfp1101" 0 0.0166635996527437 1 1 0 "0" "Zfp110"
"Polr3a1" 0 0.01648172579146 1 1 0 "0" "Polr3a"
"Elk41" 0 0.0163924449464918 1 1 0 "0" "Elk4"
"Nr2f61" 0 0.0163402080462898 1 0.997 0 "0" "Nr2f6"
"Maz1" 0 0.015978822849054 1 1 0 "0" "Maz"
"Sin3a1" 0 0.0158451755812633 1 1 0 "0" "Sin3a"
"Cebpa1" 0 0.015505376934913 0.993 0.914 0 "0" "Cebpa"
"Dbp" 0 0.0154562287463719 1 1 0 "0" "Dbp"
"Tfeb1" 0 0.0150156480958441 1 1 0 "0" "Tfeb"
"Rest1" 0 0.0149754925554453 1 1 0 "0" "Rest"
"Nr1h31" 0 0.0140088965237896 1 1 0 "0" "Nr1h3"
"Erf1" 0 0.0137589450041402 1 1 0 "0" "Erf"
"Chd21" 0 0.0136245357128108 1 1 0 "0" "Chd2"
"Thap111" 0 0.0128283550529046 1 1 0 "0" "Thap11"
"Bdp11" 0 0.0126230856031393 1 1 0 "0" "Bdp1"
"Cebpz1" 0 0.0125813506636215 1 1 0 "0" "Cebpz"
"Nfe2" 0 0.0125522469288656 1 1 0 "0" "Nfe2"
"E2f41" 0 0.0121329563103266 1 1 0 "0" "E2f4"
"Nrf11" 0 0.0120377413077394 1 1 0 "0" "Nrf1"
"Zbtb331" 0 0.0106863229988945 1 1 0 "0" "Zbtb33"
"Pml1" 0 0.0101064365564999 1 1 0 "0" "Pml"
"Relb1" 0 0.00964612662454174 1 1 0 "0" "Relb"
"Foxo41" 0 0.00922368348432742 0.893 0.496 0 "0" "Foxo4"
"Rxra1" 0 0.00756962468142349 0.999 0.994 0 "0" "Rxra"
"Tcf31" 0 0.0066499416829394 1 1 0 "0" "Tcf3"
"Rcor11" 0 0.00659929976964607 1 0.999 0 "0" "Rcor1"
"Arnt1" 0 0.00435370702283142 1 0.998 0 "0" "Arnt"
"Foxo11" 0 0.00371838799449055 1 0.999 0 "0" "Foxo1"
"Foxp11" 0 0.00286939411084991 0.911 0.654 0 "0" "Foxp1"
"Rbbp51" 6.50240645310562e-302 0.00959138132004244 1 1 9.23341716340997e-300 "0" "Rbbp5"
"Creb11" 8.95012911610422e-301 0.00990809537697365 1 1 1.2709183344868e-298 "0" "Creb1"
"Hdac61" 5.39542297255046e-300 0.0068714455134038 1 1 7.66150062102165e-298 "0" "Hdac6"
"Sox41" 1.30100057172119e-289 0.00291633936877949 0.907 0.759 1.84742081184408e-287 "0" "Sox4"
